,Source,Target,SimilarityMetric.WMD_sim
17,295,sacp-python-common/sacp_python_common/psb_mapping.py,0.4361462920224572
912,285,sacp-python-common/sacp_python_common/third_party/binaryScan.py,0.4359498342729314
948,285,sacp-python-common/test/python/third_party/test_BinaryScan.py,0.43489956195075496
3362,253,sacp-python-common/sacp_python_common/third_party/HubRestApi.py,0.439796257708878
3608,249,sacp-python-common/test/python/spotbugs/test_spotbugs.py,0.4348371992268265
4151,241,sacp-python-common/sacp_python_common/csbcicd_report/csbcicd_func.py,0.0
4167,241,sacp-python-common/sacp_python_common/third_party/binary_scan_func.py,0.0
4192,241,sacp-python-common/test/python/csbcicdReport/test_csbcicd_func.py,0.0
4447,240,sacp-python-common/sacp_python_common/csbcicd_report/csbcicd_func.py,0.4329372984527304
4459,240,sacp-python-common/sacp_python_common/security_results_push/security_results_push_func.py,0.4342576300181341
4465,240,sacp-python-common/sacp_python_common/third_party/blackduck.py,0.4329178338653925
4488,240,sacp-python-common/test/python/csbcicdReport/test_csbcicd_func.py,0.4329822526517717
4943,236,sacp-python-common/test/python/third_party/test_binary_scan_func.py,0.43886358892850336
4983,234,sacp-python-common/sacp_python_common/third_party/blackduck.py,0.4457822216892956
4990,234,sacp-python-common/sacp_python_common/third_party/HubRestApi.py,0.44588298428986384
5019,234,sacp-python-common/test/python/third_party/test_blackduck.py,0.4450154427059396
5108,230,sacp-python-common/sacp_python_common/bandit/banditReport.py,0.4383797379590599
5119,230,sacp-python-common/sacp_python_common/gosec/gosec_report.py,0.4398837427371817
5123,230,sacp-python-common/sacp_python_common/psb_mapping.py,0.4348090266630363
5125,230,sacp-python-common/sacp_python_common/security_results_push/security_results_push_func.py,0.4402561536518159
5126,230,sacp-python-common/sacp_python_common/spotbugs/spotbugs.py,0.44087058835480814
5865,223,sacp-python-common/sacp_python_common/security_results_push/security_results_push_func.py,0.43872107376844505
6543,210,sacp-python-common/sacp_python_common/third_party/cve_bd.py,0.4468469745336521
6546,210,sacp-python-common/sacp_python_common/third_party/ipcReport.py,0.4471158839845911
6973,193,sacp-python-common/sacp_python_common/psb_mapping.py,0.4390550398259413
7770,194,sacp-python-common/sacp_python_common/auth_utility.py,0.4424208728820929
7779,194,sacp-python-common/sacp_python_common/ctsm2csdl.py,0.4438082232926836
7781,194,sacp-python-common/sacp_python_common/fireException.py,0.4431421516837616
7787,194,sacp-python-common/sacp_python_common/psb_mapping.py,0.4360053476421518
7792,194,sacp-python-common/sacp_python_common/template/__init__.py,0.4387957287502121
7811,194,sacp-python-common/sacp_python_common/webex_send_func.py,0.444122353191664
7812,194,sacp-python-common/sacp_python_common/webexSend.py,0.4430356694201513
7813,194,sacp-python-common/setup.py,0.4467263002627852
7819,194,sacp-python-common/test/python/csbcicdReport/test_csbcicdReport.py,0.4426439996460863
8035,191,sacp-python-common/setup.py,0.4536902893050386
8815,182,sacp-python-common/sacp_python_common/ctsm2csdl.py,0.4435949884524781
8817,182,sacp-python-common/sacp_python_common/fireException.py,0.4422096472086984
8847,182,sacp-python-common/sacp_python_common/webex_send_func.py,0.4456935259767167
8848,182,sacp-python-common/sacp_python_common/webexSend.py,0.44312758532046936
8864,182,sacp-python-common/test/python/test_auth_utility.py,0.4434316667513621
8880,176,sacp-python-common/sacp_python_common/auth_utility.py,0.4321799438589349
8889,176,sacp-python-common/sacp_python_common/ctsm2csdl.py,0.43159632164696393
8891,176,sacp-python-common/sacp_python_common/fireException.py,0.4343282551840381
8897,176,sacp-python-common/sacp_python_common/psb_mapping.py,0.4324044662890023
8922,176,sacp-python-common/sacp_python_common/webexSend.py,0.4322636578036598
8938,176,sacp-python-common/test/python/test_auth_utility.py,0.4315606268738858
9324,166,sacp-python-common/sacp_python_common/auth_utility.py,0.44535922878788303
9546,167,sacp-python-common/sacp_python_common/auth_utility.py,0.4342235406493814
10297,158,sacp-python-common/sacp_python_common/fireException.py,0.4432111617146172
10360,157,sacp-python-common/sacp_python_common/auth_utility.py,0.43388388883824375
10369,157,sacp-python-common/sacp_python_common/ctsm2csdl.py,0.4347642197293051
10377,157,sacp-python-common/sacp_python_common/psb_mapping.py,0.4314861372733785
10434,156,sacp-python-common/sacp_python_common/auth_utility.py,0.43259595207083534
10445,156,sacp-python-common/sacp_python_common/fireException.py,0.434165911700675
10517,155,sacp-python-common/sacp_python_common/ctsm2csdl.py,0.44909137584457626
10582,153,sacp-python-common/sacp_python_common/auth_utility.py,0.4367548676345165
11174,144,sacp-python-common/sacp_python_common/auth_utility.py,0.4317354428665025
12005,130,sacp-python-common/sacp_python_common/psb_mapping.py,0.4313825609590725
13041,127,sacp-python-common/sacp_python_common/psb_mapping.py,0.4324044662890023
16957,66,sacp-python-common/sacp_python_common/fireException.py,0.4490641829835037
17031,65,sacp-python-common/sacp_python_common/fireException.py,0.4482776530216553
17253,61,sacp-python-common/sacp_python_common/fireException.py,0.4435821316241753
17285,61,sacp-python-common/setup.py,0.4464106980445972
18141,43,sacp-python-common/sacp_python_common/fireException.py,0.4389109734724094
18215,44,sacp-python-common/sacp_python_common/fireException.py,0.4387161930216765
18289,42,sacp-python-common/sacp_python_common/fireException.py,0.44274499525276506
18955,33,sacp-python-common/sacp_python_common/fireException.py,0.4393303746451046
19103,32,sacp-python-common/sacp_python_common/fireException.py,0.4465030352886932
